fiscal_date,quarter,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,ticker
2023-12-31,2.0,62020000000.0,19623000000.0,42397000000.0,27032000000.0,-331000000.0,21870000000.0,2.94,2.93,7432000000.0,7468000000.0,33556000000.0,21870000000.0,,,7142000000.0,8223000000.0,,734000000.0,909000000.0,MSFT
2023-09-30,1.0,56517000000.0,16302000000.0,40215000000.0,26895000000.0,-252000000.0,22291000000.0,3.0,2.99,7429000000.0,7462000000.0,31845000000.0,22291000000.0,,,6659000000.0,6661000000.0,,1166000000.0,525000000.0,MSFT
2023-06-30,4.0,56189000000.0,16795000000.0,39394000000.0,24254000000.0,50000000.0,20081000000.0,2.7,2.69,7434000000.0,7467000000.0,28972000000.0,20081000000.0,,,6739000000.0,8401000000.0,,905000000.0,482000000.0,MSFT
2023-03-31,3.0,52857000000.0,16128000000.0,36729000000.0,22352000000.0,69000000.0,18299000000.0,2.46,2.45,7441000000.0,7464000000.0,26556000000.0,18299000000.0,,,6984000000.0,7393000000.0,,748000000.0,496000000.0,MSFT
2022-12-31,2.0,52747000000.0,17488000000.0,35259000000.0,20399000000.0,-270000000.0,16425000000.0,2.2,2.2,7451000000.0,7473000000.0,24709000000.0,16425000000.0,,,6844000000.0,8016000000.0,,700000000.0,490000000.0,MSFT
2023-12-31,1.0,119575000000.0,64720000000.0,54855000000.0,40373000000.0,-50000000.0,33916000000.0,2.19,2.18,15509763000.0,15576641000.0,43221000000.0,33916000000.0,,,7696000000.0,6786000000.0,,,,AAPL
2023-09-30,4.0,89498000000.0,49071000000.0,40427000000.0,26969000000.0,47000000.0,22956000000.0,1.47,1.46,15599434000.0,15672400000.0,30653000000.0,22956000000.0,,,7307000000.0,6151000000.0,,984000000.0,1002000000.0,AAPL
2023-06-30,3.0,81797000000.0,45384000000.0,36413000000.0,22998000000.0,-247000000.0,19881000000.0,1.27,1.26,15697614000.0,15775021000.0,26783000000.0,19881000000.0,,,7442000000.0,5973000000.0,,980000000.0,998000000.0,AAPL
2023-03-31,2.0,94836000000.0,52860000000.0,41976000000.0,28318000000.0,76000000.0,24160000000.0,1.53,1.52,15787154000.0,15847050000.0,32210000000.0,24160000000.0,,,7457000000.0,6201000000.0,,918000000.0,930000000.0,AAPL
2022-12-31,1.0,117154000000.0,66822000000.0,50332000000.0,36016000000.0,-393000000.0,29998000000.0,1.89,1.88,15892723000.0,15955718000.0,38932000000.0,29998000000.0,,,7709000000.0,6607000000.0,,868000000.0,1003000000.0,AAPL
