fiscal_date,end_cash_position,interest_paid,free_cash_flow,operating_activities.operating_cash_flow,investing_activities.investing_cash_flow,financing_activities.financing_cash_flow,symbol,name,currency,exchange,mic_code
2020-06-30,13576000000.0,,45234000000.0,60894000000.0,-12223000000.0,-46031000000.0,MSFT,Microsoft Corp,USD,NASDAQ,XNGS
2021-06-30,14224000000.0,,56118000000.0,77989000000.0,-27577000000.0,-48486000000.0,MSFT,Microsoft Corp,USD,NASDAQ,XNGS
2022-06-30,13931000000.0,,65149000000.0,89444000000.0,-30311000000.0,-58876000000.0,MSFT,Microsoft Corp,USD,NASDAQ,XNGS
2023-06-30,34704000000.0,,59475000000.0,87386000000.0,-22680000000.0,-43935000000.0,MSFT,Microsoft Corp,USD,NASDAQ,XNGS
2020-09-30,39789000000.0,3002000000.0,73365000000.0,80674000000.0,-4289000000.0,-85940000000.0,AAPL,Apple Inc,USD,NASDAQ,XNGS
2021-09-30,35929000000.0,2687000000.0,92953000000.0,100940000000.0,-14578000000.0,-92248000000.0,AAPL,Apple Inc,USD,NASDAQ,XNGS
2022-09-30,24977000000.0,2865000000.0,111443000000.0,123524000000.0,-22660000000.0,-110749000000.0,AAPL,Apple Inc,USD,NASDAQ,XNGS
2023-09-30,30737000000.0,3803000000.0,99584000000.0,110543000000.0,3705000000.0,-108488000000.0,AAPL,Apple Inc,USD,NASDAQ,XNGS
2021-01-31,847000000.0,138000000.0,4694000000.0,6089000000.0,-19675000000.0,3610000000.0,NVDA,NVIDIA Corp,USD,NASDAQ,XNGS
2022-01-31,1990000000.0,246000000.0,8132000000.0,10342000000.0,-9830000000.0,1584000000.0,NVDA,NVIDIA Corp,USD,NASDAQ,XNGS
2023-01-31,3389000000.0,254000000.0,3808000000.0,5772000000.0,7375000000.0,-11972000000.0,NVDA,NVIDIA Corp,USD,NASDAQ,XNGS
2024-01-31,7280000000.0,252000000.0,27021000000.0,27825000000.0,-10566000000.0,-14036000000.0,NVDA,NVIDIA Corp,USD,NASDAQ,XNGS
2020-12-31,42377000000.0,1630000000.0,25924000000.0,60310000000.0,-59611000000.0,-7281000000.0,AMZN,Amazon.com Inc,USD,NASDAQ,XNGS
2021-12-31,36477000000.0,1772000000.0,-14726000000.0,44204000000.0,-58154000000.0,-1462000000.0,AMZN,Amazon.com Inc,USD,NASDAQ,XNGS
